year	state	employee_position_clean	soc	employee_earliest_year_flag	min_state_year	statefe	stateyr	statefemale	femaleyr	socyr	statesoc	statesocyr	positionyr	stateposition	statepositionyr	socfemale	positionfemale	id	employee_salary_annual	female	employee_id	min_emp_year	log_salary_annual	policy_year	policy_month	treatment
2016	"CA"	"program technician"	"43-4031"	0	2010	2	13	4	23	6224	905	6797	784318	110063	404290	1073	263647	16381.0	28424.0	0	5089496	2017	10.203228	2019	1	0
2016	"CA"	"eligibility worker"	"43-4061"	0	2010	2	13	4	23	6263	908	6827	403925	56320	206653	1079	135841	10297.0	114998.0	1	5096826	2013	11.65267	2018	1	0
2017	"TX"	"correctional lvn"	"33-1011"	0	2014	32	223	64	24	4868	12193	78409	260627	265731	1039386	832	88791	297.0	114998.0	1	5096826	2013	11.65267	2018	1	0
2018	"GA"	"administrative assistant"	"43-6013"	0	2010	6	42	12	25	6581	2321	16503	23055	162406	607817	1131	8403	15297.0	114998.0	1	5096826	2013	11.65267	2018	1	0
2016	"OR"	"correctional officer"	"33-3012"	0	2014	28	200	55	10	4972	10672	71148	260732	249431	981193	848	88828	12632.0	49385.41	1	5102518	2009	10.895078	2018	1	0
2014	"CA"	"project analyst"	"15-2031"	0	2010	2	11	3	8	1190	469	3007	785436	110218	404829	195	264032	22209.0	89497.0	1	5104980	2011	11.40196	2018	1	1
2016	"CA"	"registered nurse"	"29-1141"	0	2010	2	13	4	23	4123	723	5233	827856	116503	427559	705	278746	7209.0	89497.0	1	5104980	2011	11.40196	2018	1	1
2017	"UT"	"dfcm project manager"	"11-9021"	1	2009	33	234	65	11	269	12548	80415	316787	287739	1121284	43	107446	2209.0	89497.0	1	5104980	2011	11.40196	2018	1	1
2016	"CA"	"police service representative"	"43-4051"	0	2010	2	13	3	10	6250	907	6817	751548	105491	386786	1076	252712	14797.0	33161.0	1	5107212	2013	10.40913	2018	1	0
2017	"IA"	"cook"	"51-3093"	0	2007	7	54	14	24	8238	2872	22226	250569	166864	633843	1430	85188	4797.0	33161.0	1	5107212	2013	10.40913	2018	1	0
2018	"GA"	"grade "	"25-3021"	0	2010	6	42	11	12	3155	2153	15149	493248	163869	615949	532	165165	19797.0	33161.0	1	5107212	2013	10.40913	2018	1	0
2019	"MO"	"developmental assistant"	"31-9091"	1	2014	18	131	36	26	4769	6863	46793	316309	205196	810730	816	107278	9797.0	33161.0	1	5107212	2013	10.40913	2018	1	0
2015	"KS"	"equipment operator senior"	"47-2071"	0	2012	11	78	21	9	7038	4481	31533	425699	178420	687532	1211	143193	8396.0	43252.76	1	5109988	2013	10.674816	2018	1	0
2018	"MA"	"institutional rschool analyst"	"13-2051"	1	2010	13	97	26	25	796	5034	34841	552521	194000	756962	130	185028	3396.0	43252.76	1	5109988	2013	10.674816	2018	1	0
2019	"MA"	"customer service representative"	"43-4051"	0	2010	13	98	25	13	6253	5408	38119	282084	189282	733003	1076	96110	18396.0	43252.76	1	5109988	2013	10.674816	2018	1	0
2015	"MA"	"social worker"	"43-4051"	1	2010	13	94	26	22	6249	5408	38115	941507	198316	778982	1077	315590	21772.0	33098.88	1	5114492	2007	10.456198	2017	7	0
2018	"UT"	"financial analyst"	"13-2099"	1	2009	33	235	66	25	909	12598	80943	459022	290985	1134678	148	154147	24147.0	27678.12	1	5115989	2016	10.269033	2018	1	1
2014	"GA"	"bus driver"	"53-3022"	0	2010	6	38	12	21	9309	2402	17107	151744	162797	609824	1628	51794	16957.0	60450.0	1	5121051	2012	11.009572	2018	1	0
2016	"ID"	"administrative"	"43-6011"	0	2014	8	59	16	23	6553	3247	24611	22710	169883	654787	1127	8279	21957.0	60450.0	1	5121051	2012	11.009572	2018	1	0
2017	"CA"	"environmental health specialist"	"19-4091"	1	2010	2	14	3	11	2174	552	3732	421265	58676	215329	360	141782	1957.0	60450.0	1	5121051	2012	11.009572	2018	1	0
2019	"MA"	"mental health worker"	"29-2053"	0	2010	13	98	25	13	4394	5285	37038	671464	195539	763974	751	225094	11957.0	60450.0	1	5121051	2012	11.009572	2018	1	0
2015	"GA"	"parksgolf maintenance technician al"	"47-4099"	1	2010	6	39	11	9	7381	2350	16730	723228	164642	620296	1275	243078	5312.0	117126.04	1	5122047	2014	11.671006	2018	1	1
2016	"OR"	"natural resource specialist parks"	"11-9121"	0	2014	28	200	55	10	419	10551	70585	686980	249773	982238	67	230397	10312.0	117126.04	1	5122047	2018	11.655648	2018	1	1
2017	"CA"	"police officer"	"33-3051"	1	2010	2	14	3	11	5023	800	5896	749896	105115	385415	856	252123	15312.0	117126.04	1	5122047	2014	11.671006	2018	1	1
2019	"KS"	"corrections counselor"	"21-1019"	0	2012	11	82	21	13	2309	4220	29930	261807	177357	684645	382	89197	20312.0	117126.04	1	5122047	2014	11.671006	2018	1	1
2014	"GA"	"kindergarten teacherace"	"25-2011"	0	2010	6	38	12	21	2992	2142	15041	587351	164226	617855	503	198117	903.0	50182.28	1	5122165	2013	10.823418	2018	1	0
2018	"CA"	"comp service technician"	"49-2011"	0	2010	2	15	3	12	7511	1019	7805	233466	34093	127214	1301	79400	10903.0	50182.28	1	5122165	2013	10.823418	2018	1	0
2019	"GA"	"senior lecturer"	"25-1124"	0	2010	6	43	11	13	2903	2138	15006	899722	165278	623770	486	302263	5903.0	50182.28	1	5122165	2013	10.823418	2018	1	0
2014	"CA"	"administrative assistant"	"43-6013"	1	2010	2	11	4	21	6577	934	7066	23051	5961	22546	1131	8403	5096.0	16732.0	1	5124153	2012	9.725079	2018	1	0
2017	"TX"	"systems support specialist"	"15-1152"	0	2014	32	223	64	24	1063	11905	76770	1014229	278247	1082686	172	340415	10096.0	16732.0	1	5124153	2012	9.725079	2018	1	0
2018	"NC"	"human services program consultant"	"21-1093"	1	2014	20	142	40	25	2393	7615	50807	534246	212668	836990	397	178727	96.0	16732.0	1	5124153	2012	9.725079	2018	1	0
2015	"KS"	"administrative specialist"	"43-6011"	1	2012	11	78	22	22	6552	4456	31369	26288	175787	680431	1127	9506	16059.0	83635.0	1	5124165	2011	11.334217	2018	1	0
2016	"MO"	"dep director of business services"	"29-1061"	1	2014	18	128	35	10	3905	6830	46613	296932	205131	810472	667	100885	1059.0	83635.0	1	5124165	2011	11.334217	2018	1	0
2017	"MI"	"information technician project manager"	"15-1199"	1	2014	16	114	31	11	1076	6245	43183	545773	203813	803856	173	182720	6059.0	83635.0	1	5124165	2011	11.334217	2018	1	0
2018	"PA"	"driver license center supervisor"	"33-1099"	0	2014	29	208	58	25	4912	11069	73284	381683	253789	997518	839	128475	11059.0	83635.0	1	5124165	2011	11.334217	2018	1	0
2016	"OR"	"information systems specialist "	"15-1121"	0	2014	28	200	55	10	933	10574	70693	545111	249658	981871	151	182515	8406.0	50338.0	1	5139856	2017	10.826515	2018	1	1
2018	"CA"	"custodian"	"37-2011"	0	2010	2	15	3	12	5350	831	6155	279057	40715	150366	918	95081	3406.0	50338.0	1	5139856	2017	10.826515	2018	1	1
2019	"CA"	"correctional officer"	"33-3012"	0	2010	2	16	3	13	4975	796	5860	260735	38236	141358	848	88828	13406.0	50338.0	1	5139856	2017	10.826515	2018	1	1
2014	"GA"	"judge"	"27-2023"	0	2010	6	38	11	8	3539	2171	15292	583578	164216	617805	602	196832	15986.0	101786.0	1	5140074	2013	11.524333	2019	1	0
2014	"NJ"	"maintenance worker "	"37-2011"	1	2010	24	168	47	8	5346	9058	59924	634816	223024	880342	918	213088	20035.0	57280.56	1	5140881	2014	10.955716	2018	1	0
2015	"CA"	"information techniciannology analyst"	"15-1122"	1	2010	2	12	3	9	945	448	2819	546375	75769	279545	153	182897	15035.0	57280.56	1	5140881	2014	10.955716	2018	1	0
2016	"CA"	"senior human services program analyst"	"21-1093"	0	2010	2	13	4	23	2391	570	3902	898195	125967	464246	397	301784	10035.0	57280.56	1	5140881	2014	10.955716	2018	1	0
2018	"CA"	"security officer"	"33-3011"	0	2010	2	15	4	25	4961	795	5849	869958	122407	448803	847	292961	35.0	57280.56	1	5140881	2014	10.955716	2018	1	0
2015	"CA"	"secretary"	"43-6014"	0	2010	2	12	4	22	6591	935	7076	865407	121801	446494	1133	291666	10526.0	77202.0	1	5141631	2012	11.254181	2018	1	0
2018	"CA"	"audiologist"	"29-1181"	1	2010	2	15	4	25	4174	727	5271	124339	17802	66000	713	43049	5526.0	77202.0	1	5141631	2012	11.254181	2018	1	0
2014	"CA"	"water treatment operator"	"51-8031"	1	2010	2	11	3	8	8791	1133	8783	1097639	155894	577844	1534	369065	17696.0	58129.0	1	5143136	2017	10.97042	2018	1	1
2016	"CT"	"accountant"	"13-2011"	0	2015	3	18	6	23	735	1257	9791	4968	158011	585940	120	1842	12696.0	58129.0	1	5143136	2017	10.97042	2018	1	1
2018	"NY"	"associate professor"	"17-2031"	0	2011	26	187	52	25	1315	9622	63654	114942	229528	908268	218	39729	7696.0	58129.0	1	5143136	2017	10.97042	2018	1	1
2015	"LA"	"accounting technician"	"43-3051"	0	2014	12	84	24	22	6155	4862	33651	7293	181809	697471	1061	2613	14784.0	44194.19	1	5149578	2016	10.696348	2018	1	1
2016	"NC"	"correctional officer"	"33-3012"	1	2014	20	140	40	23	4972	7723	51391	260732	210785	832064	849	88829	24784.0	44194.19	1	5149578	2016	10.696348	2018	1	1
2017	"CA"	"senior planner"	"17-1011"	0	2010	2	14	3	11	1240	474	3038	907263	127135	469514	205	304560	4784.0	44194.19	1	5149578	2016	10.696348	2018	1	1
2018	"NY"	"corr officer"	"33-3012"	0	2011	26	187	51	12	4974	9872	65290	258911	232017	916752	848	88205	9784.0	44194.19	1	5149578	2016	10.696348	2018	1	1
2015	"NY"	"senior real estate manager"	"11-9141"	0	2011	26	184	51	9	442	9559	63202	911641	244153	956935	71	305932	192.0	22154.0	1	5150989	2014	10.005774	2018	1	0
2017	"CA"	"deputy sheriff"	"33-3051"	0	2010	2	14	3	11	5023	800	5896	312110	44985	166718	856	105854	10192.0	22154.0	1	5150989	2014	10.005774	2018	1	0
2018	"MO"	"natural resources manager b"	"11-9121"	0	2014	18	130	36	25	421	6646	45584	687223	206060	814694	68	230458	5192.0	22154.0	1	5150989	2014	10.005774	2018	1	0
2014	"WA"	"professor"	"25-1194"	0	2013	35	249	69	8	2966	13888	92045	775712	324215	1268929	498	260756	17317.0	60298.0	1	5153963	2015	11.007054	2018	1	0
2017	"CA"	"behavioral health clinician"	"29-2053"	0	2010	2	14	4	24	4392	748	5428	132425	18873	70393	752	45562	2317.0	60298.0	1	5153963	2015	11.007054	2018	1	0
2018	"GA"	"manager"	"41-1012"	1	2010	6	42	12	25	5831	2272	16093	637727	164372	618759	1003	214061	7317.0	60298.0	1	5153963	2015	11.007054	2018	1	0
2017	"IN"	"residential mentor"	"39-9041"	1	2014	10	72	20	24	5793	3969	28482	837757	175390	678986	997	282078	24125.0	39728.04	0	5157899	2014	10.645425	2018	1	1
2015	"CA"	"licensed mental health practioner"	"21-1014"	0	2010	2	12	4	22	2281	561	3813	619172	86718	318673	379	208161	7196.0	42503.96	1	5165457	2014	10.657352	2018	1	0
2016	"IA"	"custodian"	"37-2011"	0	2007	7	53	14	23	5348	2735	20696	279055	166960	634508	919	95082	17196.0	42503.96	1	5165457	2014	10.657352	2018	1	0
2017	"OR"	"public safety training specialist"	"13-1151"	0	2014	28	201	55	11	697	10564	70642	803291	249945	982776	113	270708	12196.0	42503.96	1	5165457	2014	10.657352	2018	1	0
2018	"NY"	"cleaner"	"51-9199"	1	2011	26	187	52	25	9174	10145	67083	206945	231032	913515	1604	70294	2196.0	42503.96	1	5165457	2014	10.657352	2018	1	0
2019	"PA"	"director"	"41-1012"	0	2014	29	209	57	13	5832	11114	73540	319492	253001	994482	1002	108358	22196.0	42503.96	1	5165457	2014	10.657352	2018	1	0
2016	"CA"	"procurement aid"	"11-3061"	0	2010	2	13	3	10	190	387	2258	772389	108613	399216	31	259608	13467.0	134153.0	1	5168665	2016	11.806736	2018	1	0
2017	"CA"	"custodian"	"37-2011"	0	2010	2	14	3	11	5349	831	6154	279056	40715	150365	918	95081	18467.0	134153.0	1	5168665	2016	11.806736	2018	1	0
2018	"CA"	"general education teacher"	"25-3011"	1	2010	2	15	4	25	3142	637	4483	486285	67488	248121	531	162955	8467.0	134153.0	1	5168665	2016	11.806736	2018	1	0
2019	"CA"	"sergeant"	"33-3021"	0	2010	2	16	3	13	4988	797	5870	926703	129611	480842	850	310649	3467.0	134153.0	1	5168665	2016	11.806736	2018	1	0
2014	"GA"	"professor"	"25-1194"	1	2010	6	38	12	21	2966	2140	15021	775712	164849	621417	499	260757	20623.0	39895.0	1	5172700	2012	10.594007	2018	1	0
2015	"GA"	"economic support specialist"	"15-1142"	0	2010	6	39	11	9	1022	2042	14244	388252	163461	613672	165	130689	623.0	39895.0	1	5172700	2012	10.594007	2018	1	0
2016	"WA"	"proc supply specialist"	"43-5081"	0	2013	35	251	70	23	6527	14119	93479	771804	324129	1268581	1123	259420	15623.0	39895.0	1	5172700	2012	10.594007	2018	1	0
2017	"CA"	"psychologist"	"19-3031"	0	2010	2	14	3	11	1955	533	3572	793789	111193	408448	323	267005	10623.0	39895.0	1	5172700	2012	10.594007	2018	1	0
2015	"MA"	"assistantice president"	"11-3031"	1	2010	13	94	26	22	163	4986	34372	102737	187068	721325	28	35307	10468.0	37550.0	0	5175275	2015	10.649473	2018	1	0
2015	"WA"	"corrections custody officer"	"33-3012"	0	2013	35	250	69	9	4971	14019	92862	261822	315515	1237793	848	89204	22255.0	136618.0	1	5175394	2015	11.824944	2018	1	1
2017	"CA"	"health program analyst"	"13-1111"	0	2010	2	14	4	24	647	424	2596	510155	70586	260131	106	170466	2255.0	136618.0	1	5175394	2015	11.824944	2018	1	1
2019	"CA"	"information techniciannology specialist"	"15-1143"	0	2010	2	16	3	13	1039	455	2889	547211	75908	280090	167	183192	17255.0	136618.0	1	5175394	2015	11.824944	2018	1	1
2016	"UT"	"operator"	"53-7064"	0	2009	33	233	65	10	9712	13285	87430	708713	297873	1163440	1701	237915	2579.0	59062.44	1	5179104	2012	10.98635	2018	1	0
2018	"CA"	"systems analyst"	"19-1029"	0	2010	2	15	3	12	1752	516	3419	1012942	142897	530769	289	340030	17579.0	59062.44	1	5179104	2012	10.98635	2018	1	0
2019	"GA"	"student services professional"	"31-2012"	1	2010	6	43	11	13	4719	2222	15691	981120	165507	625083	807	329530	22579.0	59062.44	1	5179104	2012	10.98635	2018	1	0
2018	"CA"	"paralegal"	"23-2011"	1	2010	2	15	4	25	2526	581	4006	715803	99618	364737	419	240711	5991.0	45769.21	0	5183465	2016	10.655639	2017	7	0
2017	"MO"	"contributions supervisor"	"47-1011"	0	2014	18	129	36	24	6919	6967	47380	249630	205028	810002	1188	84908	17488.0	17618.89	0	5187311	2011	9.875045	2018	1	0
2016	"UT"	"warehouse worker"	"53-7064"	1	2009	33	233	65	10	9712	13285	87430	1088631	307240	1201378	1701	366511	5164.0	54050.0	1	5191646	2011	10.897665	2018	1	0
2017	"MN"	"administrat law judgeentry"	"23-1021"	0	2011	17	123	33	11	2486	6496	44497	20004	204248	805821	412	7427	20164.0	54050.0	1	5191646	2011	10.897665	2018	1	0
2018	"MI"	"teaching"	"25-3021"	1	2014	16	115	31	12	3155	6305	43473	1029167	204157	805361	532	346432	10164.0	54050.0	1	5191646	2011	10.897665	2018	1	0
2019	"SC"	"assistant professor"	"25-1199"	0	2014	30	215	59	13	2984	11386	75019	89673	258784	1018461	500	30863	164.0	54050.0	1	5191646	2011	10.897665	2018	1	0
2015	"CA"	"teacher"	"11-9031"	0	2010	2	12	4	22	280	394	2321	1018383	143376	532668	46	341954	13785.0	85422.5	1	5193033	2012	11.355365	2018	1	0
2017	"WA"	"welder"	"51-4121"	0	2013	35	252	69	11	8434	14213	94070	1102141	328116	1283536	1468	370436	23785.0	85422.5	1	5193033	2012	11.355365	2018	1	0
2015	"CA"	"human services technician"	"21-1093"	1	2010	2	12	4	22	2390	570	3901	534455	74046	273227	397	178796	7064.0	37033.0	1	5194658	2016	10.519565	2018	1	1
2016	"GA"	"psychoed school psychologist"	"19-3031"	0	2010	6	40	12	23	1954	2085	14600	793562	164929	621882	324	266922	12064.0	37033.0	1	5194658	2016	10.519565	2018	1	1
2019	"FL"	"correctional officer"	"33-3012"	0	2014	5	33	9	13	4975	1847	12868	260735	160763	598965	848	88828	22064.0	37033.0	1	5194658	2016	10.519565	2018	1	1
2015	"TX"	"correc officer"	"33-3012"	0	2014	32	221	63	9	4971	12201	78452	259260	265725	1039359	848	88335	22494.0	27062.28	1	5195633	2015	10.205896	2018	1	0
2017	"AZ"	"spcl agent"	"13-1071"	0	2014	1	4	1	11	589	41	240	945987	1656	8664	95	317116	12494.0	27062.28	1	5195633	2015	10.205896	2018	1	0
2019	"ID"	"program manager"	"27-2012"	0	2014	8	62	16	26	3510	3127	23992	780841	171281	661169	597	262473	2494.0	27062.28	1	5195633	2015	10.205896	2018	1	0
2014	"OH"	"consumer finance examiner"	"13-1031"	0	2010	27	192	53	8	540	10233	67753	244159	248030	971025	87	82994	18489.0	47665.0	1	5198962	2012	10.771953	2018	1	1
2016	"NC"	"health care technician"	"29-2053"	0	2014	20	140	40	23	4391	7695	51233	508085	212453	836417	752	169812	3489.0	47665.0	1	5198962	2012	10.771953	2018	1	1
2017	"TX"	"clinical assistant professor"	"25-1193"	0	2014	32	223	63	11	2956	12049	77590	210914	264813	1036231	496	71630	8489.0	47665.0	1	5198962	2012	10.771953	2018	1	1
2018	"SD"	"elementary school teacher"	"25-3021"	1	2015	31	219	62	25	3155	11634	75954	402623	259722	1021204	533	135387	13489.0	47665.0	1	5198962	2012	10.771953	2018	1	1
2015	"WA"	"public benefits specialist "	"13-1141"	1	2013	35	250	70	22	682	13709	90950	798936	324683	1270739	112	269324	24396.0	27489.0	1	5198979	2014	10.221541	2018	1	0
2016	"NY"	"chaplain"	"21-2011"	1	2011	26	185	51	10	2424	9707	64234	177892	230416	911439	402	61072	14396.0	27489.0	1	5198979	2014	10.221541	2018	1	0
2017	"CA"	"psychologist"	"19-3031"	0	2010	2	14	3	11	1955	533	3572	793789	111193	408448	323	267005	9396.0	27489.0	1	5198979	2014	10.221541	2018	1	0
2018	"CA"	"maintenance"	"49-9043"	0	2010	2	15	4	25	7852	1049	8074	629910	88107	323509	1360	211711	4396.0	27489.0	1	5198979	2014	10.221541	2018	1	0
2019	"CA"	"night custodian"	"37-2011"	0	2010	2	16	4	26	5351	831	6156	691697	95757	351614	919	231981	19396.0	27489.0	1	5198979	2014	10.221541	2018	1	0
2017	"TX"	"adjunct professor"	"25-1193"	0	2014	32	223	63	11	2956	12049	77590	15187	260860	1023415	496	5828	21699.0	112471.0	1	5200911	2012	11.63045	2018	1	0
2018	"UT"	"project administrator"	"11-9199"	1	2009	33	235	66	25	484	12565	80599	785381	299908	1172143	78	264017	16699.0	112471.0	1	5200911	2012	11.63045	2018	1	0
2019	"CA"	"administrative analystspecialist "	"11-3011"	0	2010	2	16	3	13	126	382	2218	22927	5938	22468	19	8361	6699.0	112471.0	1	5200911	2012	11.63045	2018	1	0
2014	"CA"	"custodian lv"	"37-1011"	0	2010	2	11	4	21	5322	829	6131	279761	40850	151011	915	95301	23880.0	63560.0	1	5208661	2011	11.05974	2018	1	0
2018	"TX"	"associate professor"	"25-1199"	0	2014	32	224	64	25	2983	12051	77603	114942	263263	1031058	501	39729	18880.0	63560.0	1	5208661	2011	11.05974	2018	1	0
2019	"TX"	"child protective service specialist"	"21-1021"	1	2014	32	225	64	26	2322	12004	77339	197539	264690	1035814	385	67089	13880.0	63560.0	1	5208661	2011	11.05974	2018	1	0
2015	"WA"	"resident"	"29-1199"	0	2013	35	250	70	22	4184	13967	92532	837058	325199	1272859	715	281834	21485.0	41146.0	1	5210404	2014	10.624882	2018	1	0
2016	"CA"	"psychologist"	"19-3031"	0	2010	2	13	4	23	1954	533	3571	793788	111193	408447	324	267006	1485.0	41146.0	1	5210404	2014	10.624882	2018	1	0
2018	"CA"	"client care manager"	"41-3031"	0	2010	2	15	4	25	5918	878	6573	209691	30539	113998	1019	71188	6485.0	41146.0	1	5210404	2014	10.624882	2018	1	0
2019	"WI"	"clinical professor"	"25-1113"	0	2014	36	260	72	26	2856	14433	95300	213223	328733	1286128	479	72415	16485.0	41146.0	1	5210404	2014	10.624882	2018	1	0
2016	"LA"	"human resources specialis"	"13-1071"	0	2014	12	85	24	23	588	4620	32302	532531	183143	703428	96	178149	10175.0	43049.4	0	5213330	2015	10.793434	2017	7	1
2015	"TX"	"assistant professor"	"25-1199"	0	2014	32	221	63	9	2980	12051	77600	89669	262345	1028229	500	30863	7154.0	32198.4	1	5220820	2018	10.255334	2018	1	1
2016	"NY"	"telephone maintainer"	"49-2022"	0	2011	26	185	51	10	7535	10045	66443	1036717	246431	964619	1305	348875	2351.0	31074.0	1	5220820	2012	10.344127	2018	1	1
2017	"NC"	"techniciannology support analyst"	"15-1151"	0	2014	20	141	40	24	1050	7539	50398	1033842	215941	845134	170	347961	17351.0	31074.0	1	5220820	2012	10.344127	2018	1	1
2019	"CA"	"warehouse worker"	"53-7064"	0	2010	2	16	3	13	9715	1217	9537	1088634	154172	570822	1701	366511	7351.0	31074.0	1	5220820	2012	10.344127	2018	1	1
2014	"MA"	"facility service worker"	"49-2022"	0	2010	13	93	26	21	7533	5479	38752	448784	192977	751366	1306	150675	1778.0	15977.0	1	5221790	2018	9.6789055	2018	1	1
2015	"IA"	"supply chain associate"	"13-1081"	1	2007	7	52	13	9	621	2466	17770	1004358	169480	651899	101	337425	21778.0	15977.0	1	5221790	2018	9.6789055	2018	1	1
2017	"CA"	"manager"	"41-1012"	0	2010	2	14	4	24	5830	870	6499	637726	89533	328784	1003	214061	16778.0	15977.0	1	5221790	2018	9.6789055	2018	1	1
2014	"GA"	"grade "	"25-3021"	0	2010	6	38	12	21	3151	2153	15145	493244	163869	615945	533	165166	20401.0	78623.88	1	5225286	2011	11.27243	2018	1	0
2015	"CA"	"data system analyst "	"13-1111"	1	2010	2	12	4	22	645	424	2594	287269	41953	155194	106	97768	401.0	78623.88	1	5225286	2011	11.27243	2018	1	0
2018	"WA"	"research coordinator e s "	"11-9013"	1	2013	35	253	70	25	257	13678	90740	834647	325138	1272593	42	281046	10401.0	78623.88	1	5225286	2011	11.27243	2018	1	0
2016	"WA"	"customer service specialist"	"43-4141"	0	2013	35	251	69	10	6336	14106	93392	282255	315792	1238813	1090	96174	4614.0	48877.0	1	5226075	2017	10.797062	2018	1	0
2017	"GA"	"servicemaintenance worker"	"49-9098"	1	2010	6	41	12	24	8055	2371	16883	928254	165365	624195	1397	311155	14614.0	48877.0	1	5226075	2017	10.797062	2018	1	0
2019	"GA"	"assistant professor"	"25-1199"	1	2010	6	43	11	13	2984	2141	15036	89673	162614	608899	500	30863	19614.0	48877.0	1	5226075	2017	10.797062	2018	1	0
2018	"PA"	"work control specialist"	"19-4093"	0	2014	29	208	58	25	2201	10920	72458	1106034	258713	1018088	365	371658	16774.0	51376.0	1	5232553	2008	10.856512	2018	1	0
2014	"CA"	"community assistant"	"21-1093"	1	2010	2	11	4	21	2389	570	3900	228164	33140	123643	397	77541	437.0	39838.0	1	5234347	2017	10.592577	2018	1	1
2015	"GA"	"grade "	"25-3021"	0	2010	6	39	12	22	3152	2153	15146	493245	163869	615946	533	165166	5437.0	39838.0	1	5234347	2017	10.592577	2018	1	1
2019	"CA"	"elementary counselor"	"21-1012"	1	2010	2	16	4	26	2261	559	3798	401643	55905	205090	375	135023	10437.0	39838.0	1	5234347	2017	10.592577	2018	1	1
2019	"MO"	"administrat office support assistant"	"43-6011"	0	2014	18	131	36	26	6556	6948	47275	20433	204559	807756	1127	7550	22805.0	49386.72	1	5236997	2018	10.707265	2019	1	0
2016	"CA"	"associate transportation planner"	"19-3099"	0	2010	2	13	4	23	2065	542	3653	118389	16994	63087	342	40902	5036.0	84635.41	1	5237471	2015	11.346108	2018	1	0
2017	"TX"	"clerk"	"43-9061"	0	2014	32	223	64	24	6684	12327	79179	207792	264740	1035960	1147	70610	36.0	84635.41	1	5237471	2015	11.346108	2018	1	0
2018	"GA"	"kindergarten teacherace"	"25-2011"	0	2010	6	42	12	25	2996	2142	15045	587355	164226	617859	503	198117	20036.0	84635.41	1	5237471	2015	11.346108	2018	1	0
2015	"CA"	"bus driver"	"53-3022"	0	2010	2	12	4	22	9310	1180	9204	151745	21814	81542	1628	51794	21636.0	81931.26	1	5240413	2012	11.313636	2018	1	1
2017	"NY"	"mental health th a tr"	"21-1014"	1	2011	26	186	52	24	2283	9695	64148	671336	239876	942238	379	225040	11636.0	81931.26	1	5240413	2012	11.313636	2018	1	1
2018	"CA"	"dietitian pd"	"29-1031"	1	2010	2	15	4	25	3872	701	5041	318403	45661	169438	662	107960	16636.0	81931.26	1	5240413	2012	11.313636	2018	1	1
2019	"MO"	"child support specialist"	"23-2011"	0	2014	18	131	36	26	2527	6774	46322	198495	204891	809332	419	67376	6636.0	81931.26	1	5240413	2012	11.313636	2018	1	1
2014	"UT"	"lineman"	"53-7041"	0	2009	33	231	65	8	9656	13280	87377	621906	295797	1154854	1691	209033	21666.0	96887.0	1	5243359	2012	11.4813	2018	1	0
2015	"ID"	"research technician"	"19-4061"	1	2014	8	58	15	9	2159	3071	23666	836088	171435	661953	358	281521	16666.0	96887.0	1	5243359	2012	11.4813	2018	1	0
2016	"TX"	"graduate assistant teaching"	"19-4061"	0	2014	32	222	63	10	2160	11992	77265	493486	269432	1051506	358	165247	6666.0	96887.0	1	5243359	2012	11.4813	2018	1	0
2017	"LA"	"state police sergeant"	"33-1012"	0	2014	12	86	23	11	4881	4806	33339	968824	184570	709518	833	325501	11666.0	96887.0	1	5243359	2012	11.4813	2018	1	0
2018	"IA"	"administrat services coordinator"	"21-1012"	0	2007	7	55	14	25	2260	2569	18952	21657	165943	627863	375	7926	1666.0	96887.0	1	5243359	2012	11.4813	2018	1	0
2014	"CA"	"conservationist"	"19-4093"	1	2010	2	11	3	8	2197	554	3747	240803	35111	130960	364	81916	18082.0	121665.68	1	5243494	2012	11.709032	2018	1	0
2015	"CA"	"transportation engineerr"	"17-2051"	0	2010	2	12	3	9	1336	482	3108	1054938	150143	555846	221	355261	5131.0	121665.68	1	5243494	2012	11.709032	2018	1	0
2017	"CA"	"correctional deputy"	"33-3012"	1	2010	2	14	3	11	4973	796	5858	260173	38180	141133	848	88626	131.0	121665.68	1	5243494	2012	11.709032	2018	1	0
2018	"PA"	"police communications operator"	"43-5031"	0	2014	29	208	58	25	6434	11156	73787	748659	256491	1008929	1107	251687	15131.0	121665.68	1	5243494	2012	11.709032	2018	1	0
2019	"CA"	"fire engineerr"	"33-2011"	0	2010	2	16	3	13	4926	792	5823	463623	64503	236634	840	155649	8082.0	121665.68	1	5243494	2012	11.709032	2018	1	0
2016	"NY"	"corr officer"	"33-3012"	1	2011	26	185	51	10	4972	9872	65288	258909	232017	916750	848	88205	22099.0	30177.0	1	5252463	2011	10.314836	2018	1	0
2017	"NY"	"proctor"	"25-9041"	0	2011	26	186	52	24	3294	9756	64491	772286	241432	947678	557	259571	7099.0	30177.0	1	5252463	2011	10.314836	2018	1	0
2018	"CA"	"information techniciannology training project manager"	"15-1199"	0	2010	2	15	3	12	1077	458	2918	547511	75971	280341	173	183303	12099.0	30177.0	1	5252463	2011	10.314836	2018	1	0
2019	"CA"	"sheriffs deputy"	"33-3051"	0	2010	2	16	3	13	5025	800	5898	932104	130317	484023	856	312310	17099.0	30177.0	1	5252463	2011	10.314836	2018	1	0
2016	"MA"	"construction coordinator"	"47-2061"	0	2010	13	95	25	10	7028	5457	38570	242023	188908	730841	1209	82358	8808.0	40470.0	1	5260150	2017	10.608316	2018	1	0
